fdc_id,data_type,description,food_category_id,publication_date,id,food_nutrient_conversion_factor_id,protein_value,fat_value,carbohydrate_value
2685581,foundation_food,"Tomatoes, crushed, canned",11.0,2024-04-18,23105.0,23105.0,2.44,8.37,3.57
2685582,foundation_food,"Tomato, puree, canned",11.0,2024-04-18,23106.0,23106.0,2.44,8.37,3.57
2710815,foundation_food,"Apricot, with skin, raw",9.0,2024-10-31,23122.0,23122.0,3.36,8.37,3.6
2710816,foundation_food,"Melons, honeydew, raw",9.0,2024-10-31,23123.0,23123.0,3.36,8.37,3.6
2710817,foundation_food,"Plantains, ripe, raw",9.0,2024-10-31,23124.0,23124.0,3.36,8.37,3.6
2710818,foundation_food,"Plantains, underripe, raw",9.0,2024-10-31,23125.0,23125.0,2.78,8.37,4.03
2710819,foundation_food,"Chia seeds, dry, raw",20.0,2024-10-31,23126.0,23126.0,3.47,8.37,4.07
2710820,foundation_food,"Bulgur, dry, raw",20.0,2024-10-31,23127.0,23127.0,3.59,8.37,3.78
2710821,foundation_food,"Wild rice, dry, raw",20.0,2024-10-31,23128.0,23128.0,3.55,8.37,3.95
2710822,foundation_food,"Arugula, baby, raw",11.0,2024-10-31,23129.0,23129.0,2.44,8.37,3.57
2710823,foundation_food,"Asparagus, green, raw",11.0,2024-10-31,23130.0,23130.0,2.44,8.37,3.57
2710824,foundation_food,"Avocado, Hass, peeled, raw",9.0,2024-10-31,23131.0,23131.0,3.36,8.37,3.6
2710825,foundation_food,"Rice, black, unenriched, raw",20.0,2024-10-31,23132.0,23132.0,3.55,8.37,3.95
2710826,foundation_food,"Corn, sweet, yellow and white kernels,  fresh, raw",11.0,2024-10-31,23133.0,23133.0,2.44,8.37,3.57
2710827,foundation_food,"Einkorn, grain, dry, raw",20.0,2024-10-31,23134.0,23134.0,3.59,8.37,3.78
2710828,foundation_food,"Farro, pearled, dry, raw",20.0,2024-10-31,23135.0,23135.0,3.59,8.37,3.78
2710829,foundation_food,"Fonio, grain, dry, raw",20.0,2024-10-31,23136.0,23136.0,3.87,8.37,4.12
2710830,foundation_food,"Khorasan, grain, dry, raw",20.0,2024-10-31,23137.0,23137.0,3.59,8.37,3.78
2710831,foundation_food,"Kiwifruit (kiwi), green, peeled, raw",9.0,2024-10-31,23138.0,23138.0,3.36,8.37,3.6
2710832,foundation_food,"Mandarin, seedless, peeled, raw",9.0,2024-10-31,23139.0,23139.0,3.36,8.37,3.6
2710833,foundation_food,"Mango, Tommy Atkins, peeled, raw",9.0,2024-10-31,23140.0,23140.0,3.36,8.37,3.6
2710834,foundation_food,"Mango, Ataulfo, peeled, raw",9.0,2024-10-31,23141.0,23141.0,3.36,8.37,3.6
2710835,foundation_food,"Corn flour, masa harina, white or yellow, dry, raw",20.0,2024-10-31,23142.0,23142.0,2.73,8.37,4.03
2710836,foundation_food,"Pear, Anjou, green, with skin, raw",9.0,2024-10-31,23143.0,23143.0,3.36,8.37,3.6
2710837,foundation_food,"Plum, black, with skin, raw",9.0,2024-10-31,23144.0,23144.0,3.36,8.37,3.6
2710838,foundation_food,"Rice, red, unenriched, dry, raw",20.0,2024-10-31,23145.0,23145.0,3.55,8.37,3.95
2710839,foundation_food,"Sorghum bran, white, unenriched, dry, raw",20.0,2024-10-31,23146.0,23146.0,0.91,8.37,4.03
2710840,foundation_food,"Sorghum flour, white, pearled, unenriched, dry, raw",20.0,2024-10-31,23147.0,23147.0,2.28,8.37,4.07
2710841,foundation_food,"Sorghum grain, white, pearled, unenriched, dry, raw",20.0,2024-10-31,23148.0,23148.0,0.91,8.37,4.03
2710842,foundation_food,"Sorghum, whole grain, white, dry, raw",20.0,2024-10-31,23149.0,23149.0,0.91,8.37,4.03
2710843,foundation_food,"Plantains, overripe, raw",9.0,2024-10-31,23150.0,23150.0,3.36,8.37,3.6
2727566,foundation_food,"Chicken, drumstick, meat and skin, raw",5.0,2025-04-24,23180.0,23180.0,4.27,9.02,3.87
2727567,foundation_food,"Chicken, thigh, meat and skin, raw",5.0,2025-04-24,23181.0,23181.0,4.27,9.02,3.87
2727568,foundation_food,"Chicken, wing, meat and skin, raw",5.0,2025-04-24,23182.0,23182.0,4.27,9.02,3.87
2727569,foundation_food,"Chicken, breast, meat and skin, raw",5.0,2025-04-24,23183.0,23183.0,4.27,9.02,3.87
2727570,foundation_food,"Lamb, ground, raw",17.0,2025-04-24,23184.0,23184.0,4.27,9.02,3.87
2727571,foundation_food,"Bison, ground, raw",17.0,2025-04-24,23185.0,23185.0,4.27,9.02,3.87
2727572,foundation_food,"Beef, short loin (NY strip steak), raw",13.0,2025-04-24,23186.0,23186.0,4.27,9.02,3.87
2727573,foundation_food,"Beef, tenderloin steak, raw",13.0,2025-04-24,23187.0,23187.0,4.27,9.02,3.87
2727574,foundation_food,"Beef, top sirloin steak, raw",13.0,2025-04-24,23188.0,23188.0,4.27,9.02,3.87
2727575,foundation_food,"Pork, chop, center cut, raw",10.0,2025-04-24,23189.0,23189.0,4.27,9.02,3.87
2727576,foundation_food,"Pork, belly, with skin, raw",10.0,2025-04-24,23190.0,23190.0,4.27,9.02,3.87
2727577,foundation_food,"Pawpaw, peeled, seeded, raw",9.0,2025-04-24,23191.0,23191.0,3.36,8.37,3.6
2727578,foundation_food,"Squash, pie pumpkin, peeled, seeded, raw",11.0,2025-04-24,23192.0,23192.0,2.44,8.37,3.57
2727579,foundation_food,"Squash, spaghetti, peeled, seeded, raw",11.0,2025-04-24,23193.0,23193.0,2.44,8.37,3.57
2727580,foundation_food,"Rutabaga, peeled, raw",11.0,2025-04-24,23194.0,23194.0,2.78,8.37,3.84
2727581,foundation_food,"Blackberries, raw",9.0,2025-04-24,23195.0,23195.0,3.36,8.37,3.6
2727582,foundation_food,"Tomatillos, dehusked, raw",11.0,2025-04-24,23196.0,23196.0,2.44,8.37,3.57
2727583,foundation_food,"Cabbage, napa, leaf, destemmed, raw",11.0,2025-04-24,23197.0,23197.0,2.44,8.37,3.7
2727584,foundation_food,"Leeks, bulb and greens, root removed, raw",11.0,2025-04-24,23198.0,23198.0,2.78,8.37,3.84
2727585,foundation_food,"Green onion, (scallion), bulb and greens, root removed, raw",11.0,2025-04-24,23199.0,23199.0,2.44,8.37,3.57
2727586,foundation_food,"Shallots, bulb, peeled, root removed, raw",11.0,2025-04-24,23200.0,23200.0,2.78,8.37,3.84
2727587,foundation_food,"Juice, prune, shelf-stable",9.0,2025-04-24,23201.0,23201.0,3.36,8.37,3.92
2727588,foundation_food,"Juice, pomegranate, from concentrate, shelf-stable",9.0,2025-04-24,23202.0,23202.0,3.36,8.37,3.92
2727589,foundation_food,"Juice, tart cherry, from concentrate, shelf-stable",9.0,2025-04-24,23203.0,23203.0,3.36,8.37,3.92
